Project Description,Location,Contractor,Cost,Completion Date
"Rehabilitation of Bantayan Flood Control Structure, Bantayan River Basin, San Roque, Northern Samar",NORTHERN SAMAR,JCL CONSTRUCTION AND SUPPLY,"48,982,964.54",3/3/2025
"Construction of Flood Control Structure, Brgy. Lucap, Alaminos City, Pangasinan (Package II)",PANGASINAN,ORIENTAL SALES CENTER AND CONTRACTOR / ALCEL CONSTRUCTION,"96,491,365.52",3/3/2025
"Construction of Flood Mitigation Structure along Balingcaguing River (Bangan-Oda Section), Sta. 007+850 - Sta. 008+250, Barangay Bangan-Oda, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,"96,500,000.00",3/3/2025
"Improvement along Balanti Creek, Brgy. Concepcion Dos, Marikina City, Phase 1",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","48,001,608.49",3/3/2025
"Construction of Flood Mitigation Structure, Calunasan Bridge Flood Control, Getafe, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"48,403,180.00",3/2/2025
"Construction of Sikut Flood Control, Bunot, Paracelis, Mountain Province",MOUNTAIN PROVINCE,ED1SON DEVELOPMENT & CONSTRUCTION INC. / J.M. DAPING CONSTRUCTION SERVICES,"39,200,000.00",3/2/2025
"Construction of Flood Mitigation Structure along Aringay River Basin, Main Stream (Kagaling River Section), Tuba, Benguet",BENGUET,MG SAMIDAN CONSTRUCTION,"84,877,709.32",3/2/2025
"Construction of Flood Control Structure along Maasim River (Package VI), Barangay Basuit, San Ildefonso, Bulacan",BULACAN,ADSL CONSTRUCTION & TRADING,"96,498,717.18",3/1/2025
"Rehabilitation of Flood Control Structure along Meycauayan River, Barangay Tawiran to Wawang Pulo, Sta. 02+106 - Sta. 02+231, Obando, Bulacan",BULACAN,G.F. FABIAN CONSTRUCTION / F316 CONSTRUCTION CORP.,"96,499,808.15",3/1/2025
"Construction of Flood Control Structure - Lower Agusan Development Project, Flood Control (Bancasi Bridge Revetment Upstream and Downstream), Package 2, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"192,999,989.16",02/28/2025
"Rehabilitation of Flood Control Structure along Malalag - Libertad Section, Package 1, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"192,998,943.58",02/28/2025
"Rehabilitation of Flood Control Structure along Malalag - Libertad Section, Package 2, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"192,999,520.47",02/28/2025
"Construction of Flood Mitigation Structure along Agusan River Basin protecting Barangay Poblacion of Las Nieves, Package 2, Agusan del Norte",AGUSAN DEL NORTE,ADFIL CORPORATION,"168,635,678.05",02/28/2025
"Construction of Revetment along New Sibunga Creek, New Sibunga, Nabunturan, Davao de Oro",DAVAO DE ORO,TAGUM BUILDERS CONTRACTORS CORP. (FORMERLY: TAGUM,"48,999,885.55",02/28/2025
"Construction of River Control along Balanac River, Brgy Maulawin, Pagsanjan, Laguna",LAGUNA,11-16 CONSTRUCTION,"93,594,921.19",02/28/2025
"Construction of Revetment along Carmona River, Brgy. Mabuhay, Carmona, Cavite",CAVITE,OMNICON BUILDERS,"125,838,791.69",02/28/2025
"Construction of Flood Control Structure along Cagayan River, Phase 2, Barangay Dalenat, Angadanan, Isabela",ISABELA,"INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION / ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC.","77,164,336.44",02/28/2025
"Construction of Flood Mitigation Structure (Installation of Trash Screen) at Balisampan Creek, Barangay Guadalupe Viejo, Makati City",MAKATI CITY,QUATRIX CONSTRUCTION AND SUPPLY INC.,"48,021,877.09",02/28/2025
"Construction of Tinago Flood Control Structure, Brgy. Tinago, Malimono, Surigao del Norte",SURIGAO DEL NORTE,RCDG CONSTRUCTION CORPORATION / LPO1 GROUP OF COMPANIES INC.,"98,999,840.66",02/27/2025
"Construction of Revetment along Surigao River, Poctoy Section, Phase 1, Surigao City, Surigao del Norte",SURIGAO DEL NORTE,"GICAR CONSTRUCTION, INC.","110,974,983.06",02/27/2025
"Construction of San Lorenzo Seawall (Phase 5), Tabaco City, Albay",ALBAY,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL","104,220,000.00",02/26/2025
"Construction of Flood Mitigation Structure along Aringay River Basin, Barangay Tavora East, Pugo, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,249,567.54",02/26/2025
"Construction of Flood Control Structure along Balaong River (Purok 1 Section, Upstream), Barangay Tartaro, San Miguel, Bulacan",BULACAN,C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"48,248,500.57",02/25/2025
"Construction of Drainage System, Barangay Casuntingan, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),"24,205,775.00",02/24/2025
"Construction of Sea Wall/Storm Surge Protection With Embankment, Coastal Road, Dumangas, Iloilo",ILOILO,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)","34,239,725.52",02/24/2025
"Construction of Flood Control Structure, Barangay Balabag, Dumangas, Iloilo",ILOILO,"WOODLAND CONSTRUCTION & SUPPLY, INC. / MRZA CONSTRUCTION CORPORATION","76,431,495.76",02/24/2025
"Construction of Flood Control Project along Portion of Kumalarang River (Upstream), Purok 1, Boyugan East, Kumalarang, Zamboanga del Sur",ZAMBOANGA DEL SUR,JZL BUILDERS & ENTERPRISES,"19,579,552.34",02/24/2025
"Construction of Coastal Protection Works, Brgy. Wawa Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,ARCONIC INC.,"67,549,998.51",02/24/2025
"Construction of Flood Control Structure along Rio Chico River, Sta. 5+938.10 - Sta. 5+978.10, Brgy. Sto. Rosario Young, Zaragoza, Nueva Ecija",NUEVA ECIJA,"KYRO BUILDERS, INC.","9,800,000.00",02/24/2025
"Rehabilitation of Flood Mitigation Structure along Buli Creek, Pasig City",PASIG CITY,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"94,530,649.03",02/24/2025
"Construction of Ngilin Flood Control along Chico River, Sta. 186+670 - Sta. 186+810 (R.S.), Ambato-Legleg, Tinglayan, Kalinga",KALINGA,MA BUYAGAN CONSTRUCTION SERVICES,"11,747,921.15",02/24/2025
"Construction of River Control along Bugang Bridge, Sagay, Camiguin",CAMIGUIN,JAPUZ-JANSOL ENTERPRISES,"94,561,570.35",02/23/2025
"Construction of River Control along Baylao Box Culvert, Mambajao, Camiguin",CAMIGUIN,FNTC CONSTRUCTION,"28,809,594.60",02/23/2025
"Construction of Flood Control Structure along Jagobiao Creek, Phase 3, Barangay Casili to Barangay Sacsac, Consolacion, Cebu",CEBU,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"57,893,912.76",02/23/2025
"Construction of River Bank Protection along San Juan River, Pontevedra, Negros Occidental",NEGROS OCCIDENTAL,R.A. CONSTRUCTION DEVELOPMENT CORPORATION (FORMERLY: R.A. CONSTRUCTION & GENERAL MERCHANDISE) / ONE TERRA BUILDERS AND CONSTRUCTION SUPPLY,"96,400,918.40",02/23/2025
"Construction of Flood Control Structure, Jose Dalman, Zamboanga del Norte",ZAMBOANGA DEL NORTE,RDT CONSTRUCTION AND GENERAL MERCHANDISE,"9,894,959.60",02/23/2025
"Construction of Talenceras Flood Control at Talenceras, Tubigon, Bohol",BOHOL,SILVERWOLVES CONSTRUCTION CORPORATION,"144,312,978.86",02/22/2025
"Bank Improvement along Sta. Maria River and Its Tributaries, Sta.12+940- Sta.13+344 (San Jose Patag-Pulong Buhangin Section), Sta Maria, Bulacan",BULACAN,EIRISH BUILDERS & SUPPLY INC.,"88,355,337.98",02/22/2025
"Construction of Revetment Wall Structure along Mananga River (Right Side), Sitio Bogo, Barangay Camp 4, Talisay City, Cebu",CEBU,QM BUILDERS,"148,500,000.00",02/21/2025
"Construction of Revetment Wall Structure along Mananga River (Left Side), Sitio Bogo, Barangay Camp 4, Talisay City, Cebu",CEBU,QM BUILDERS,"148,500,000.00",02/21/2025
"Construction of Baito Flood Control Structure Phase 2, Poctoy, Odiongan, Romblon",ROMBLON,SCATR CONSTRUCTION,"96,484,539.95",02/21/2025
"Construction of Flood Control Structure along Bocaue - Santa Maria River, Sta. 02 + 200 - Sta. 02 + 350 (Phase 2), Barangay Ubihan, Meycauayan, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"96,499,969.85",02/20/2025
"Construction of Flood Control Structure along Bocaue -Santa Maria River, Sta 02 + 200 - Sta 02 + 350 (Phase 1), Barangay Ubihan, Meycauayan, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"96,499,989.70",02/20/2025
"Construction of Flood Mitigation Structure, Barangay Simaya, Malaybalay City, Bukidnon",BUKIDNON,RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE),"135,100,000.00",02/18/2025
"Construction of Tayuman Pumping Station, Manila City",CITY OF MANILA,JELSIE CONSTRUCTION & SUPPLY,"96,496,919.11",02/18/2025
"Bank Improvement of Slope Protection along Marikina River (Package 7), Pasig City",PASIG CITY,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"46,475,997.28",02/18/2025
"Construction of Flood Mitigation Structure, Bagacay Creek, Barangay Bagacay, Alabel, Sarangani Province",SARANGANI,J.G. ORANZA CONSTRUCTION,"89,000,301.34",02/17/2025
"Construction of Revetment along Malasila River, Sta. 36+540 - Sta. 37+340 L/S, Barangay Dagupan, Makilala, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,755,000.00",02/17/2025
"Construction of San Rafael River Control, San Rafael, Guinobatan, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"72,374,521.65",02/17/2025
"Rehabilitation of Bank Protection Structure along Taguibo River Protecting Taguibo Dam Water-Filtration Facilities, Package 2, Barangay Anticala, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,EQUI-PARCO CONSTRUCTION COMPANY,"192,999,994.39",02/16/2025
"Construction of Flood Control Structure, Phase 1, Barangay San Jose, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,244,610.83",02/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Anduyan, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"19,794,859.75",02/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Bauang, La Union",LA UNION,ANORE CONSTRUCTION,"96,492,001.36",02/16/2025
"Construction of Flood Control Structure, Barangay Gana, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,995,000.00",02/16/2025
"Construction of Flood Control Structure, Phase 2, Barangay San Jose, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,995,000.01",02/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Leones East, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"29,693,457.10",02/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Barangay Cares, Pugo, La Union",LA UNION,A.I.P. CONSTRUCTION,"48,655,692.77",02/16/2025
"Construction of Storm Surge Protection; Wave Wall, Subsection 3.19 (Sta. 4+686.5 to 4+866.5), Tacloban City, Leyte",LEYTE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","151,771,943.33",02/15/2025
"Construction of Dedekkel Flood Control Structure, Section 1, Dinapigue, Isabela",ISABELA,DALCON CONSTRUCTION,"96,500,000.00",02/15/2025
"Rehabilitation of Drainage System at Sta. Maria and Vicinity, Brgy. Dela Paz, Pasig City",PASIG CITY,"WBX CONSTRUCTION, INC (FORMERLY WBX CONSTRUCTION)","11,557,707.21",02/15/2025
"Construction of Drainage along Lubiran St., Manila City",CITY OF MANILA,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC. / EVERCORE CONSTRUCTION AND DEVELOPMENT CORP.,"85,548,671.84",02/14/2025
"Construction of Slope Protection along Tumana Creek, Brgy. Tumana, Marikina City",MARIKINA CITY,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"94,530,664.34",02/13/2025
"Libungan River Flood Control Project (Abaga Section - Phase VIII), Abaga, Libungan, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON / GFJ CONSTRUCTION SUPPLY & MERCHANDISE,"57,900,000.00",2/12/2025
"Construction of Flood Control Structure, Barangay Francisco Homes Mulawin - Barangay Narra, San Jose del Monte, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","48,257,458.19",2/12/2025
"Construction of Flood Control Structure, Barangay Francisco Homes Guijo - Barangay Yakal, San Jose del Monte, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","48,257,590.02",2/12/2025
"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 026+130 - Sta. 026+560, Barangay Calzada, Mabini, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,"96,500,000.00",2/12/2025
"Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+092 - Sta. 017+457, Caranglaan, Mabini, Pangasinan",PANGASINAN,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,"96,500,000.00",2/12/2025
"Construction of River Bank Protection along Alip River (Phase I), Datu Paglas, Maguindanao",MAGUINDANAO DEL SUR,PATE-KHAY CONSTRUCTION,"96,008,853.82",2/11/2025
"Construction of Flood Mitigation Structure along Teresa River, Barangay May-Iba, Teresa, Rizal",RIZAL,"A.M. ORETA & CO., INC.","91,675,000.00",2/11/2025
"Construction of Flood Control Structure along Sabang River, Barangay San Jose, General Luna, Quezon",QUEZON,WAWAO BUILDERS,"77,200,000.00",2/11/2025
"Construction of Flood Control Structure along Malangaan River (Upstream), Barangay Camachile, Doña Remedios Trinidad, Bulacan",BULACAN,FIVE TRAVELLERS CONSTRUCTION INC.,"48,249,750.32",2/11/2025
"Construction of Flood Control Structure along Santa Fe River, Barangay Banganan, Aritao, Nueva Vizcaya",NUEVA VIZCAYA,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),"57,899,799.23",2/11/2025
"Construction of Flood Mitigation Structure along Rangas River, Mampirao, San Jose, Camarines Sur",CAMARINES SUR,ALRO CONSTRUCTION & DEVELOPMENT CORP.,"96,500,000.00",2/10/2025
"Improvement of Balagon CIS Irrigation Drainage, Siay, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,EG-VRYLE CONSTRUCTION & ENTERPRISES,"10,225,709.86",2/10/2025
"Construction of Bongabong River Control, Brgy. Morente Section, Bongabong, Oriental Mindoro",ORIENTAL MINDORO,CAMBERWELL CONSTRUCTION AND SUPPLIES,"96,496,493.95",2/10/2025
Construction of Camiling-Agno River Floodway Phase 6,TARLAC,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,"111,012,635.00",2/10/2025
Construction of Camiling-Agno River Floodway Phase 5,TARLAC,BMK CONSTRUCTION CORPORATION (FORMERLY B.M.K. CONSTRUCTION) / ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"193,000,000.00",2/10/2025
"Construction of Mallig River Flood Control Project, Barangay Imbiao Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"96,497,828.67",2/10/2025
"Rehabilitation of Drainage System at Zone 41-57 (Phase 3), Manila City",CITY OF MANILA,TOPNOTCH CATALYST BUILDERS INC.,"29,086,241.46",2/10/2025
"Construction of Flood Control and Drainage System along Taytayan Creek, Taytayan, City of Bogo, Cebu",CEBU,QM BUILDERS / ADAMANT DEVELOPMENT CORPORATION,"49,000,000.00",2/9/2025
"Construction of Flood Mitigation Structure along Ribsuan River, Barangay Caoayan, Burgos, La Union",LA UNION,LATAWAN EDUARDO AP-O DEVELOPERS CONSTRUCTION SERVICES / E.T. LATAWAN CONSTRUCTION,"99,646,322.92",2/9/2025
"Construction of Flood Control Structure at Tagoloan River, Package 6, Misamis Oriental",MISAMIS ORIENTAL,RAMISES CONSTRUCTION / EQUI-PARCO CONSTRUCTION COMPANY,"282,250,640.70",2/7/2025
"Construction of Flood Control Structure, Brgy. Poblacion, Candijay, Bohol",BOHOL,MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"48,190,168.00",2/7/2025
"Construction of Sta. Cruz River Control (Downstream), Malilipot, Albay",ALBAY,CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / JORMAND CONSTRUCTION & SUPPLY,"39,200,000.00",2/7/2025
"Construction/Extension of Tiagao River Control, Sta. Cruz Section, Malilipot, Albay",ALBAY,CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / JORMAND CONSTRUCTION & SUPPLY,"48,250,000.00",2/7/2025
"Construction of Flood Control Structure, Barangay Dalampang, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,DGSARM BUILDERS INC. (FORMERLY: D.G. SARMENTA CONSTRUCTION),"71,072,250.00",2/7/2025
"Construction of Flood Control Structure along San Miguel River at Marugay-rugay Bridge 2, Phase 2, Barangay Garlang, San Ildefonso, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","96,499,019.62",2/7/2025
"Construction of Flood Control Structure along Angat River, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","96,499,757.73",2/7/2025
"Construction of Papan Weste Flood Control Structure, Section 4, Jones, Isabela",ISABELA,V.B. MANUBAY CONSTRUCTION,"96,500,000.00",2/7/2025
"Construction of Seawall at Barangay Matho, Cortes, Surigao del Sur",SURIGAO DEL SUR,ST. TIMOTHY CONSTRUCTION CORPORATION,"48,249,389.19",2/6/2025
"Construction of Flood Mitigating Structure within Mindanao River Basin, along Pulangi River, Package 3, Downstream of Old Batangan Bridge, Valencia City, Bukidnon",BUKIDNON,"M. MONTESCLAROS ENTERPRISES, INC.","66,097,734.85",2/6/2025
"Construction of Flood Control Structure, Vascoña River along Bacolod, North Road, San Carlos, City, Negros Occidental",NEGROS OCCIDENTAL,RKVT CONSTRUCTION / WILKINSON CONSTRUCTION,"72,374,843.77",2/6/2025
"Construction of Flood Control Brgy. Lower Pulacan, Labangan, Zamboanga del Sur",ZAMBOANGA DEL SUR,GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS),"53,851,405.11",2/6/2025
"Construction of Flood Control Structure along Santa Maria River and its Tributaries (Balasing-Pulong Buhangin Section), Santa Maria, Bulacan",BULACAN,C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"47,520,712.83",2/5/2025
"Construction of Bank Slope Protection along Nayom River, Sta. 007+559.2 - Sta. 008+159.2, Barangay Maya, Infanta, Pangasinan",PANGASINAN,ANORE CONSTRUCTION,"96,500,000.00",2/5/2025
"Construction of Luba Seawall, Santa Lucia, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,"39,199,443.13",2/5/2025
"Construction of Flood Control Structure, (Concrete Revetment), Sinawal River, Barangay Labangal, General Santos City",SOUTH COTABATO,PLUS CONSTRUCTION INDUSTRIES CORP.,"24,748,196.43",2/4/2025
"Construction of River Bank Protection, Lusanes, Brgy. Sulit, Polomolok, South Cotabato",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"120,624,048.79",2/4/2025
"Construction of Flood Control Structure, Brgy. Big Banisilon, Tangcal, Lanao del Norte",LANAO DEL NORTE,LANAO BUILDER AND ENTERPRISES,"4,841,201.00",2/3/2025
"Construction of Slope Protection Structure, San Juan-San Joaquin Access Road, Brgy. San Joaquin, Santa Ana, Pampanga",PAMPANGA,JKOJ CONSTRUCTION SUPPLIES TRADING,"9,345,618.93",2/3/2025
"Construction of Dimaluade Flood Control Structure, Section 2, Dinapigue, Isabela",ISABELA,GACUTAN CONSTRUCTION INC. (FORMERLY: GACUTAN CONSTRUCTION),"96,297,431.08",2/3/2025
"Construction of Darapidap Flood Control, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,"41,782,461.14",2/3/2025
"Improvement along Balanti Creek, Second District, Marikina City, Phase 3",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","39,216,457.66",2/3/2025
"Construction of Angad Flood Control, Bangued, Abra",ABRA,MG SAMIDAN CONSTRUCTION,"48,998,000.00",2/3/2025
"Construction of Tumarbong River Flood Control Structure, Sta. 0+000 - Sta. 0+150, Quezon, Palawan",PALAWAN,R NARRAZID TRADING AND CONSTRUCTION,"5,210,917.61",2/2/2025
"Construction of Flood Control Structure, Brgy. Dibacong, Casiguran, Aurora",AURORA,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE / BAMM BUSINESS VENTURES INC.,"49,500,000.00",2/2/2025
